lat,lon,name,admin1,admin2,cc
34.2168918,108.9585135, None,286622511,250513161,
34.2243253,108.9559304, None,286622513,266795181,
34.2243422,108.9601038, None,286622514,26174007,
34.2246231,108.9614885, None,286622515,550170006,
34.2249333,108.9713744, None,286622516,272804279,
34.2371846,108.9344280, None,286622532,28275322,
34.2319938,108.9591305, None,286622535,568086388,
34.2310893,108.9591605, None,286622536,263485687,
34.2243198,108.9592672, None,286622537,55684808,
34.2243860,108.9607695, None,286622543,266795193,
34.2317448,108.9593955, None,286622544,381429052,
34.2312172,108.9594020, None,286622545,262891758,
34.2609040,108.9278956, None,286622552,258742300,
34.2608005,108.9415764, None,286622553,333403966,
34.2604543,108.9426806, None,286622555,334971114,
34.2392340,108.9589810, None,310330248,568086388,
34.2353759,108.9590410, None,310330249,568086388,
34.2001002,108.9307765, None,310337911,172626356,
34.2683034,108.9906534, None,310338011,156592802,
34.2664260,108.9906410, None,310338012,156592802,
34.2643080,108.9906454, None,310338013,156592802,
34.2633391,108.9907113, None,310338014,156592802,
34.2621783,108.9908033, None,310338016,156592797,
34.2617607,108.9910133, None,310338021,156592797,
34.2614193,108.9913099, 互助立交,310338026,156592797,
34.2611462,108.9915598, None,310338030,156592797,
34.2607237,108.9917776, None,310338036,156592801,
34.2600496,108.9918784, None,310338040,156592801,
34.2581729,108.9917842, None,310338046,335518758,
34.2551849,108.9918755, None,310338051,266583956,
34.2517025,108.9918387, None,310338055,266583956,
34.2493531,108.9918050, None,310338060,266583964,
34.2465536,108.9915984, None,310338065,335525204,
34.2451453,108.9917092, None,310338070,335525204,
34.2447660,108.9916498, None,310338075,335525204,
34.2446715,108.9914231, None,310338080,267213557,
34.2444565,108.9907106, None,310338085,267213557,
34.2441823,108.9901924, None,310338091,267213557,
34.2405745,108.9818938, None,310338099,156593905,
34.2375667,108.9746213, None,310338105,309154009,
34.2342668,108.9670037, 太乙立交,310338111,263738593,
34.2323907,108.9624655, None,310338116,264453197,
34.2317042,108.9607242, None,310338122,264453197,
34.2316434,108.9599325, None,310338124,152427991,
34.2316532,108.9577464, None,310338125,152427996,
34.2316687,108.9565382, None,310338126,152427996,
34.2317067,108.9466341, None,310338128,334648929,
34.2317233,108.9369920, 朱雀桥,310338130,334648926,
34.2316401,108.9314863, None,310338131,28340415,
34.2316455,108.9270504, None,310338132,28340415,
34.2316808,108.9262528, None,310338133,28340415,
34.2318559,108.9255038, None,310338134,28340415,
34.2324136,108.9242695, None,310338135,152428519,
34.2339473,108.9213785, None,310338136,152428516,
34.2334013,108.9210633, None,310338178,293499687,
34.2330228,108.9222741, None,310338179,293499687,
34.2324728,108.9234814, None,310338181,162533708,
34.2317221,108.9253332, None,310338182,162540379,
34.2315879,108.9261171, None,310338183,162540379,
34.2315556,108.9313503, 朱雀桥,310338184,162540379,
34.2315705,108.9345075, None,310338185,162540379,
34.2316452,108.9370701, None,310338186,162540379,
34.2316301,108.9466255, None,310338188,334648927,
34.2315497,108.9565028, None,310338189,28340418,
34.2315480,108.9576055, None,310338190,152427995,
34.2315610,108.9604501, None,310338191,152427995,
34.2316108,108.9607447, None,310338192,152427993,
34.2338428,108.9662433, None,310338193,155248440,
34.2374716,108.9748697, None,310338195,263486162,
34.2403949,108.9818021, None,310338196,263486162,
34.2424556,108.9866678, None,310338198,381956608,
34.2440341,108.9912440, None,310338199,334802601,
34.2442264,108.9918491, None,310338200,370672198,
34.2442899,108.9917096, None,310338201,334802605,
34.2442122,108.9919298, None,310338202,231866344,
